FIPS,Name,2013 Rural-urban Continuum Code*,1970,1980,1990,2000,,2008-2012,2017-2021
17161,"Rock Island, IL        ",2,8.5%,12.2%,15.0%,17.1%,,21.5%,23.6%
17163,"St. Clair, IL        ",1,6.5%,11.4%,14.7%,19.3%,,24.9%,29.6%
17165,"Saline, IL        ",6,4.7%,6.8%,9.4%,12.1%,,13.8%,19.2%
17167,"Sangamon, IL        ",3,10.4%,18.7%,22.4%,28.6%,,31.6%,34.0%
17169,"Schuyler, IL        ",7,5.3%,7.9%,10.7%,11.7%,,18.5%,17.4%
17171,"Scott, IL        ",9,4.0%,7.4%,9.2%,12.1%,,16.6%,22.1%
17173,"Shelby, IL        ",6,3.7%,7.5%,9.8%,11.5%,,14.8%,17.4%
17175,"Stark, IL        ",2,7.3%,9.3%,10.8%,13.4%,,15.8%,19.5%
17177,"Stephenson, IL        ",4,7.4%,11.2%,13.6%,15.6%,,18.3%,21.3%
17179,"Tazewell, IL        ",2,7.7%,11.8%,13.6%,18.1%,,23.6%,27.7%
17181,"Union, IL        ",6,5.7%,7.8%,10.9%,15.8%,,19.1%,22.7%
17183,"Vermilion, IL        ",3,6.4%,9.7%,11.1%,12.5%,,13.9%,16.3%
17185,"Wabash, IL        ",7,6.5%,8.7%,12.6%,12.5%,,16.3%,18.5%
17187,"Warren, IL        ",6,9.2%,12.7%,14.5%,15.8%,,18.7%,22.4%
17189,"Washington, IL        ",6,4.0%,6.9%,8.7%,13.4%,,18.8%,22.6%
17191,"Wayne, IL        ",7,4.1%,6.1%,8.7%,10.0%,,12.7%,15.2%
17193,"White, IL        ",6,4.0%,7.9%,9.5%,10.4%,,13.1%,16.2%
17195,"Whiteside, IL        ",4,6.2%,8.7%,9.9%,11.3%,,15.4%,18.8%
17197,"Will, IL        ",1,7.7%,14.3%,18.0%,25.5%,,32.1%,35.4%
17199,"Williamson, IL        ",3,6.2%,10.5%,14.2%,17.2%,,21.7%,26.6%
17201,"Winnebago, IL        ",2,8.4%,13.5%,16.7%,19.4%,,20.9%,23.3%
17203,"Woodford, IL        ",2,6.9%,13.5%,15.4%,21.1%,,26.3%,34.9%
